Name,Color,Antlers,Pattern,Tail,Build,,,,,,
"Opossum, Virginia",Gray/Black ,No,"Bands, Solid","Long, Smooth","Small, Low Slung",,Color,Antlers,Pattern,Tail,Build
Porcupine,Tan/Brown,No,Solid,"Long, Bushy","Small, Low Slung",,Tan/Brown,Yes,Stripes,Bushy,Stocky
Muskrat,Tan/Brown ,No,Solid,"Long, Smooth","Small, Low Slung",,Red,No,Bands,Smooth,Tall
"Beaver, American",Tan/Brown ,No,Solid,"Long, Smooth","Small, Low Slung",,Brown,,Spots,Long,Lanky
"Cottontail, Eastern","Tan/Brown, White Gray/Black",No,Solid,"Short, Bushy","Small, Low Slung",,White,,Solids,Short,Small
"Jackrabbit, White Tailed","Tan/Brown, White, Gray/Black",No,Solid,"Short, Bushy","Small, Low Slung",,Gray,,,,Low Slung
"Hare, Snowshoe","Red, Tan/Brown, White",No,Solid,"Short, Bushy","Small, Low Slung",,Gray/Black,,,,
Deer,"Red, Tan/Brown, Gray/Black",Yes,"Bands, Spots, Solid","Short, Bushy","Tall, Lanky",,,,,,
Elk,Tan/Brown,Yes,"Bands, Spots, Solid","Short, Bushy","Tall, Stocky, Lanky",,Other characteristics to identify: ,,,,
Moose,"Red, Tan/Brown, Gray/Black",Yes,"Bands, Solid","Short, Bushy","Tall, Stocky",,How many?,,,,
Bobcat,"Red, Tan/Brown, Gray/Black",No,"Spots, Solid","Short, Bushy","Small, Lanky",,Young present?,,,,
Lynx,"Tan/Brown, Gray/Black",No,"Spots, Solid ","Short, Bushy","Small, Lanky",,,,,,
Cougar,Tan/Brown,No,"Spots, Solid","Long, Bushy","Small, Lanky",,,,,,
"Wolf, Gray","Tan/Brown, White, Gray/Black",No,Solid,"Long, Bushy","Small, Lanky",,,,,,
Coyote,"Tan/Brown, White, Gray/Black",No,Solid,"Long, Bushy","Small, Lanky",,,,,,
"Fox, Gray","Red, White, Gray/Black",No,"Bands, Solid","Long, Bushy","Small, Lanky",,,,,,
"Fox, Red","Red, Tan/Brown ",No,Solid,"Long, Bushy","Small, Lanky",,,,,,
"Bear, Black","Tan/Brown, Gray/Black",No,Solid,"Short, Bushy","Tall, Stocky",,,,,,
"Badger, American","Tan/Brown, White, Gray/Black",No,"Bands, Solid","Short, Bushy","Small, Low Slung",,,,,,
Raccoon,"Tan/Brown, White, Gray/Black",No,"Stripes, Bands, Solid ","Long, Bushy","Small, Low Slung",,,,,,
"Skunk, Striped","White, Gray/Black ",No,"Stripes, Bands","Long, Bushy","Small, Low Slung",,,,,,
"Skunk, Spotted","White, Gray/Black ",No,"Stripes, Bands","Long, Bushy","Small, Low Slung",,,,,,
Weasel,"Tan/Brown, White",No,"Bands, Solid","Long, Bushy","Small, Low Slung",,,,,,
"Marten, American",Tan/Brown,No,Solid,"Long, Bushy","Small, Low Slung",,,,,,
"Mink, American",Tan/Brown,No,Solid,"Long, Bushy","Small, Low Slung",,,,,,
Fisher,"Tan/Brown, Gray/Black",No,Solid,"Long, Bushy","Small, Low Slung",,,,,,
Wolverine,"Tan/Brown, Gray/Black",No,"Solid, Bands","Long, Bushy","Small, Low Slung",,,,,,
Otter,Tan/Brown,No,Solid,"Long, Bushy","Small, Low Slung",,,,,,
Chipmunks and Squirrels,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Spots, Solid","Long, Bushy","Small, Low Slung",,,,,,
Woodchuck,"Tan/Brown, Gray/Black",No,Solid,"Long, Bushy","Small, Low Slung",,,,,,
"Crane, Sandhill","Tan/Brown, Red, Gray/Black",No,"Bands, Solid",Long,"Tall, Lanky",,,,,,
"Crane, Whooping","Red, Tan/Brown, White, Gray/Black",No,"Bands, Solid",Long,"Tall, Lanky",,,,,,
Turkey,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Solid ","Long, Bushy",Tall,,,,,,
Grouse,"Tan/Brown, White, Gray/Black",No,"Stripes, Bands, Solid ",Long,Small,,,,,,
Pheasant,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Solid ",Long,Small,,,,,,
Bird,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Spots, Solid",Long,Small,,,,,,
Amphibians and Reptiles,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Spots, Solid","Long, Short, Smooth",Small,,,,,,
"Dog, Domestic","Tan/Brown, Red, White, Gray/Black",No,"Spots, Bands, Solid","Long, Short, Bushy","Small, Low Slung, Stocky, Lanky",,,,,,
"Cat, Domestic","Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Spots, Solid","Long, Bushy","Small, Lanky",,,,,,
"Pig, Feral","Tan/Brown, Red, White, Gray/Black",No,"Bands, Solid","Long, Short, Smooth","Small, Stocky, Low Slung",,,,,,
Human,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Spots, Solid",None,"Tall, Lanky",,,,,,
Other Domestic,"Tan/Brown, Red, White, Gray/Black",No,"Stripes, Bands, Spots, Solid","Long, Short, Smooth","Small, Low Slung, Stocky, Lanky",,,,,,